stadium_id,stadium_name,team,first_season,last_season,has_dome,lat,lon,altitude
1,State Farm Stadium,ARI,2009,,TRUE,33.5276,-112.2626,319
2,Georgia Dome,ATL,2009,2016,TRUE,33.7577,-84.4008,300
3,Mercedez-Benz Stadium,ATL,2017,,TRUE,33.7554,-84.4008,300
4,M&T Bank Stadium,BAL,2009,,FALSE,39.278,-76.6227,4
5,New Era Field,BUF,2009,,FALSE,42.7738,-78.787,239
6,Bank of America Stadium,CAR,2009,,FALSE,35.2258,-80.8528,217
7,Soldier Field,CHI,2009,,FALSE,41.8623,-87.6167,175
8,Paul Brown Stadium,CIN,2009,,FALSE,39.0955,-84.5161,160
9,FirstEnergy Stadium,CLE,2009,,FALSE,41.5061,-81.6995,172
10,AT&T Stadium,DAL,2009,,TRUE,32.7473,-97.0945,191
11,Empower Field at Mile High,DEN,2009,,FALSE,39.7439,-105.0201,1602
12,Ford Field,DET,2009,,TRUE,42.34,-83.0456,193
13,Lambeau Field,GB,2009,,FALSE,44.5013,-88.0622,190
14,NRG Stadium,HOU,2009,,TRUE,29.6847,-95.4107,18
15,Lucas Oil Stadium,IND,2009,,TRUE,39.7601,-86.1639,222
16,TIAA Bank Field,JAC,2009,,FALSE,30.324,-81.6373,5
17,Arrowhead Stadium,KC,2009,,FALSE,39.0489,-94.4839,275
18,The Dome at America's Center,LA,2009,2015,TRUE,38.6328,-90.1885,132
19,Los Angeles Memorial Coliseum,LA,2016,,FALSE,34.0141,-118.2879,64
20,SDCCU Stadium,LAC,2009,2016,FALSE,32.7831,-117.1196,104
21,Dignity Health Sports Park,LAC,2017,,FALSE,33.8644,-118.2611,11
22,Hard Rock Stadium,MIA,2009,,FALSE,25.958,-80.2389,9
23,Hubert H. Humphrey Metrodome,MIN,2009,2013,TRUE,44.9738,-93.2578,256
24,TCF Bank Stadium,MIN,2014,2015,FALSE,44.9765,-93.2245,256
25,U.S. Bank Stadium,MIN,2016,,TRUE,44.9738,-93.2578,256
26,Gillette Stadium,NE,2009,,FALSE,42.0909,-71.2643,78
27,Mercedes-Benz Superdome,NO,2009,,TRUE,29.9511,-90.0812,5
28,Metlife Stadium (NYG),NYG,2009,,FALSE,40.8135,-74.0745,2
29,Metlife Stadium (NYJ),NYJ,2009,,FALSE,40.8135,-74.0745,2
30,RingCentral Coliseum,OAK,2009,,FALSE,37.7516,-122.2005,20
31,Lincoln Financial Field,PHI,2009,,FALSE,39.9008,-75.1675,4
32,Heinz Field,PIT,2009,,FALSE,40.4468,-80.0158,267
33,CenturyLink Field,SEA,2009,,FALSE,47.5952,-122.3316,78
34,Candlestick Park,SF,2009,2013,FALSE,37.7136,-122.3861,13
35,Levi's Stadium,SF,2014,,FALSE,37.4032,-121.9698,5
36,Raymond James Stadium,TB,2009,,FALSE,27.9759,-82.5033,13
37,Nissan Stadium,TEN,2009,,FALSE,36.1665,-86.7713,150
38,FedExField,WAS,2009,,FALSE,38.9076,-76.8645,51